CityEconomy,RecoverTime,Loss,CommunicationMethod,SuspectEducation,SuspectAbility,SuspectAge,SuspectGender,SuspectOccupation,SpecialDate
Developed,Medium,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult40To50,Male,Manufacturing,Short
ThirdTier,Short,Low0To100,financialExchange,middleSchool,Medium,Adult40To50,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
Developed,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult50To60,Female,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Long
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult20To30,Male,Manufacturing,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium1kTo10k,legalOnline,primarySchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult50To60,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
Developed,Short,Medium1kTo10k,offlineCommunication,primarySchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Low,Adult60To70,Male,SocialProductionLifeService,Short
Developed,Short,Serious100kTo1000k,offlineCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Manufacturing,Short
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Low0To100,offlineCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Medium
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,middleSchool,Medium,Adult50To60,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,HeadsofEnterprises,Short
FirstTier,Short,Medium100To1k,offlineCommunication,primarySchool,Medium,Adult40To50,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Medium
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult30To40,Male,ProfessionalTechnical,Short
FirstTier,Short,Low0To100,offlineCommunication,college,Medium,Adult20To30,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,HeadsofEnterprises,Short
