案发年份_code,案发月份_code,案发日期_code,案发日期敏感度_code,工作大类_code,工作小类_code,相关人性别_code,相关人年龄_code,相关人收入_code,相关人学历_code,相关人通信方式_code,金额损失_code,相关人恢复时间_code,是否报警_code,案发城市经济水平_code,相关人身份_code
2023,12,1,24,24,9,2.0,5.0,1.0,5,6,3,0,0,63,0
2024,5,1,0,24,9,1.0,2.0,1.0,2,6,2,0,0,202,0
2024,6,1,9,24,9,1.0,4.0,1.0,2,6,2,1,0,64,0
2024,5,1,0,24,9,1.0,0.0,2.0,2,6,0,0,0,36,0
2019,1,1,0,12,9,1.0,5.0,2.0,3,6,3,1,0,5,0
2024,6,1,9,20,9,1.0,5.0,2.0,2,5,0,0,0,349,0
2024,6,1,9,8,9,2.0,6.0,1.0,1,1,0,0,0,5,0
2022,3,1,28,8,9,1.0,3.0,2.0,2,6,2,0,0,63,0
2024,5,1,0,24,9,1.0,4.0,2.0,2,6,0,0,0,89,0
2024,6,1,9,24,9,1.0,6.0,1.0,2,6,0,1,0,45,0
2024,6,1,9,12,9,1.0,3.0,2.0,2,1,0,0,0,11,0
2024,5,1,0,24,9,1.0,5.0,2.0,6,6,2,0,0,5,0
2023,2,1,10,24,9,1.0,3.0,1.0,3,6,3,0,0,63,0
2023,6,20,2,8,9,1.0,5.0,2.0,3,1,3,0,0,49,0
2024,1,1,0,8,9,1.0,4.0,1.0,2,1,3,0,0,38,0
2023,6,7,15,24,9,1.0,3.0,2.0,6,6,2,0,0,5,0
2024,6,1,9,24,9,1.0,2.0,2.0,4,1,2,0,0,5,0
2024,6,1,9,24,9,1.0,3.0,1.0,2,6,4,0,0,2,0
2022,2,1,0,8,9,1.0,3.0,2.0,2,1,1,0,0,43,0
2016,1,1,0,8,9,1.0,5.0,1.0,1,3,2,0,0,151,0
2024,5,1,0,24,9,1.0,5.0,1.0,1,1,4,1,0,64,0
2024,1,1,0,20,9,1.0,6.0,1.0,2,6,2,0,0,63,0
2024,6,1,9,8,9,1.0,5.0,1.0,1,1,2,0,0,5,0
2023,5,1,0,24,9,1.0,3.0,1.0,2,6,2,0,0,51,0
2024,6,1,9,24,9,1.0,3.0,2.0,4,1,3,0,0,5,0
2022,3,1,28,24,10,1.0,3.0,1.0,1,6,1,0,0,200,0
2024,5,1,0,8,9,1.0,7.0,1.0,2,1,0,0,0,15,0
2024,6,1,9,8,9,1.0,4.0,1.0,1,1,4,0,0,5,0
2024,6,1,9,8,9,1.0,4.0,2.0,2,1,3,0,0,147,0
2024,1,1,0,8,9,1.0,4.0,2.0,2,1,3,0,0,38,0
2024,6,1,9,12,9,1.0,3.0,2.0,2,6,1,0,0,2,0
2023,5,10,9,24,9,1.0,3.0,2.0,5,1,4,0,0,5,0
2024,6,1,9,24,9,1.0,4.0,2.0,2,1,3,0,0,13,0
2023,2,1,10,24,9,1.0,3.0,1.0,3,6,3,0,0,63,0
2024,6,1,9,8,9,1.0,4.0,1.0,1,6,3,0,0,1,0
2024,5,1,0,24,9,1.0,2.0,2.0,4,5,1,0,0,116,0
2024,6,1,9,8,9,1.0,4.0,2.0,9,6,3,0,0,5,0
2024,5,1,0,8,9,1.0,4.0,2.0,5,1,0,0,0,1,0
2024,5,1,0,8,9,1.0,4.0,2.0,5,6,3,0,0,5,0
2024,3,1,20,8,9,1.0,4.0,2.0,2,1,3,0,0,38,0
2024,4,1,3,8,9,1.0,6.0,2.0,2,1,1,0,0,13,0
2024,4,1,3,2,9,1.0,4.0,2.0,6,6,3,0,0,14,0
2023,4,1,3,24,9,1.0,4.0,1.0,1,6,3,1,0,5,0
