CityEconomy,RecoverTime,Loss,CommunicationMethod,VictimEducation,VictimIncome,VictimAge,VictimSex,SpecialDate,VictimOccupation
FirstTier,Long,Serious100kTo1000k,traditionalTelephoneCommunication,majorCollege,Low,Adult30To40,Male,Short,Manufacturing
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Long,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Medium100To1k,offlineCommunication,middleSchool,Low,Adult30To40,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
SecondTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,legalOnlineAbroad,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Long,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult30To40,Male,Short,Manufacturing
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,college,Medium,Adult20To30,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Teenagers,Male,Medium,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Adult20To30,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Long,Serious100kTo1000k,offlineCommunication,college,Medium,Adult50To60,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Medium,Low0To100,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,middleSchool,Low,Adult20To30,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
SecondTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult40To50,Female,Short,ProfessionalTechnical
FirstTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Male,Short,HeadsofPartyStateOrgans
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,Short,Manufacturing
FirstTier,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult40To50,Male,Medium,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult40To50,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Male,Short,ProfessionalTechnical
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
FirstTier,Short,Medium100To1k,offlineCommunication,highSchool,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium100To1k,financialExchange,middleSchool,Low,Teenagers,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Long,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,ProfessionalTechnical
Developed,Short,Medium100To1k,offlineCommunication,middleSchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Long,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Low,Adult60To70,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,financialExchange,majorCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Long,Medium1kTo10k,offlineCommunication,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Short,Serious10kTo100k,financialExchange,college,Medium,Adult30To40,Male,Short,HeadsofEnterprises
