eps,dataset,expertType,model,f1,precision,recall,llmName
0.1,Criminal,human,Bayesian Network,0.38456839405615184,0.41880232551597774,0.4115898959881129,None
0.2,Criminal,human,Bayesian Network,0.3542357948073827,0.36661362235228157,0.3724907063197026,None
0.3,Criminal,human,Bayesian Network,0.3374155853210948,0.34779028139234563,0.35777998017839446,None
0.4,Criminal,human,Bayesian Network,0.33131124834753595,0.3490443733018414,0.3524163568773234,None
0.5,Criminal,human,Bayesian Network,0.3382464006082428,0.3585592298537158,0.35752528256989885,None
0.6,Criminal,human,Bayesian Network,0.34759254670871353,0.365429909817871,0.3635687732342007,None
0.7,Criminal,human,Bayesian Network,0.3366583507881856,0.3443553578267719,0.3467176545570427,None
0.8,Criminal,human,Bayesian Network,0.3108887484890468,0.346041646015265,0.3336431226765799,None
0.9,Criminal,human,Bayesian Network,0.31048608998152966,0.3151133995390667,0.3175809649702578,None
0.1,Criminal,llm,Bayesian Network,0.34265136893019643,0.3585375999151912,0.36701337295690933,ChatGLM4Flash
0.2,Criminal,llm,Bayesian Network,0.34571094293295834,0.3646256696626017,0.36654275092936806,ChatGLM4Flash
0.3,Criminal,llm,Bayesian Network,0.3263813278770002,0.359594673796657,0.35133795837462833,ChatGLM4Flash
0.4,Criminal,llm,Bayesian Network,0.334646777249492,0.34974034055868175,0.36171003717472117,ChatGLM4Flash
0.5,Criminal,llm,Bayesian Network,0.3380043505039917,0.36351212085176254,0.3637715645449137,ChatGLM4Flash
0.6,Criminal,llm,Bayesian Network,0.32604104909756915,0.3380354831543373,0.348451053283767,ChatGLM4Flash
0.7,Criminal,llm,Bayesian Network,0.3120542522223158,0.3357467359001064,0.3403441682600382,ChatGLM4Flash
0.8,Criminal,llm,Bayesian Network,0.3302801133327219,0.3455715975352038,0.35055762081784386,ChatGLM4Flash
0.9,Criminal,llm,Bayesian Network,0.29559207076457505,0.32045118512345055,0.32336417713152676,ChatGLM4Flash
0.1,Criminal,Non-expert,Random Forest,0.4905878163679024,0.5039851333652963,0.49925705794947994,None
0.2,Criminal,Non-expert,Random Forest,0.493267199538087,0.4947844457677018,0.5003717472118959,None
0.3,Criminal,Non-expert,Random Forest,0.48401877302329804,0.48891463435329835,0.4905847373637265,None
0.4,Criminal,Non-expert,Random Forest,0.46969211817066525,0.47281972803282507,0.4754646840148699,None
0.5,Criminal,Non-expert,Random Forest,0.4638070671826166,0.4671135266528362,0.4684711481261154,None
0.6,Criminal,Non-expert,Random Forest,0.44298207644245413,0.4440290380505753,0.44783147459727385,None
0.7,Criminal,Non-expert,Random Forest,0.4176115317472284,0.4226322346848821,0.42553643509666456,None
0.8,Criminal,Non-expert,Random Forest,0.400032067227756,0.40276411578256455,0.40650557620817845,None
0.9,Criminal,Non-expert,Random Forest,0.3551501660847553,0.35628310121335777,0.36434236615994714,None
0.1,Criminal,Non-expert,Decision Tree,0.481701489682903,0.49370369769345035,0.487369985141159,None
0.2,Criminal,Non-expert,Decision Tree,0.483923463012036,0.4879812087974931,0.48698884758364314,None
0.3,Criminal,Non-expert,Decision Tree,0.4701066770636547,0.47208575167531125,0.47472745292368684,None
0.4,Criminal,Non-expert,Decision Tree,0.472721491511928,0.47628518460128294,0.4762081784386617,None
0.5,Criminal,Non-expert,Decision Tree,0.4552446692962897,0.46248951078646805,0.4562760261748959,None
0.6,Criminal,Non-expert,Decision Tree,0.42997392876558893,0.43215690490901426,0.43271375464684014,None
0.7,Criminal,Non-expert,Decision Tree,0.4103146426215719,0.41188974163803294,0.41470150839175696,None
0.8,Criminal,Non-expert,Decision Tree,0.39026184615983767,0.3925975203946322,0.39163568773234203,None
