eps,dataset,expertType,model,f1,precision,recall
0.1,Criminal,human,Bayesian Network,0.8943350954835075,0.8624420162983603,0.9286775631500743
0.2,Criminal,human,Bayesian Network,0.8953449226780124,0.863724934702395,0.929368029739777
0.3,Criminal,human,Bayesian Network,0.8747684808265072,0.837705693358387,0.9152626362735382
0.4,Criminal,human,Bayesian Network,0.887739811425912,0.8540783018476805,0.9241635687732342
0.5,Criminal,human,Bayesian Network,0.9025149514574475,0.8728516849089502,0.9342653182629387
0.6,Criminal,human,Bayesian Network,0.8965387159082499,0.8659496157997177,0.929368029739777
0.7,Criminal,human,Bayesian Network,0.8936095683227615,0.862244841929812,0.9273422562141491
0.8,Criminal,human,Bayesian Network,0.8969765562306136,0.8657991183095867,0.9304832713754647
0.9,Criminal,human,Bayesian Network,0.8967120870542862,0.8670693262643393,0.9284534038334434
0.1,Criminal,llm,Bayesian Network,0.8892494277338259,0.8568288756810303,0.924219910846954
0.2,Criminal,llm,Bayesian Network,0.8953449226780124,0.863724934702395,0.929368029739777
0.3,Criminal,llm,Bayesian Network,0.9102583645504206,0.8827431216180245,0.9395441030723488
0.4,Criminal,llm,Bayesian Network,0.897334916820398,0.8664671296110686,0.9304832713754647
0.5,Criminal,llm,Bayesian Network,0.8872776706160609,0.8539948523672894,0.9232599643069601
0.6,Criminal,llm,Bayesian Network,0.8936289779541552,0.8626726227456614,0.9268897149938042
0.7,Criminal,llm,Bayesian Network,0.8902746435839863,0.8589737025672894,0.9239430635224134
0.8,Criminal,llm,Bayesian Network,0.8968646212162893,0.877536499761168,0.929182156133829
0.9,Criminal,llm,Bayesian Network,0.8913748764038596,0.8673767866292854,0.9215135492399207
0.1,Criminal,Non-expert,Random Forest,0.903348568347534,0.8972071819264971,0.9167904903417533
0.2,Criminal,Non-expert,Random Forest,0.9141376987978989,0.9091706910329014,0.9226765799256506
0.3,Criminal,Non-expert,Random Forest,0.9168755533848725,0.9132769633408291,0.9276511397423192
0.4,Criminal,Non-expert,Random Forest,0.916258234397948,0.9112441521787815,0.9256505576208178
0.5,Criminal,Non-expert,Random Forest,0.9212127209945804,0.9168889382062474,0.9318857822724569
0.6,Criminal,Non-expert,Random Forest,0.9212944259839376,0.9166479214868527,0.9308550185873606
0.7,Criminal,Non-expert,Random Forest,0.9163390786412688,0.9120521002808994,0.9281920543870831
0.8,Criminal,Non-expert,Random Forest,0.9125199812673986,0.9063594940573063,0.9254646840148699
0.9,Criminal,Non-expert,Random Forest,0.902033326050381,0.8908780551172539,0.9200264375413086
0.1,Criminal,Non-expert,Decision Tree,0.900287051212807,0.8962692005564967,0.9049034175334324
0.2,Criminal,Non-expert,Decision Tree,0.9043850251310948,0.9020677428497758,0.9070631970260223
0.3,Criminal,Non-expert,Decision Tree,0.9005508675138634,0.8999107302822145,0.9013875123885035
