eps,dataset,expertType,model,f1,precision,recall,llmName
0.1,Criminal,human,Bayesian Network,0.3544209441462162,0.36729575641221063,0.3774145616641902,None
0.2,Criminal,human,Bayesian Network,0.3082373033243636,0.32635992570635136,0.33234200743494424,None
0.3,Criminal,human,Bayesian Network,0.33545767522317177,0.33610106609423057,0.3483647175421209,None
0.4,Criminal,human,Bayesian Network,0.33525750609333754,0.35817982610586946,0.35985130111524166,None
0.5,Criminal,human,Bayesian Network,0.335880534829206,0.3519760437800776,0.355145746579417,None
0.6,Criminal,human,Bayesian Network,0.3326224019951403,0.34713817174122485,0.3516728624535316,None
0.7,Criminal,human,Bayesian Network,0.3214167952533819,0.35897859222422634,0.3492670490758445,None
0.8,Criminal,human,Bayesian Network,0.3297329111944685,0.3354244814784975,0.3399628252788104,None
0.9,Criminal,human,Bayesian Network,0.29479673672523393,0.3157728162561975,0.30337078651685395,None
0.1,Criminal,llm,Bayesian Network,0.3725900599586607,0.3998746418341161,0.38930163447251115,ChatGLM4Flash
0.2,Criminal,llm,Bayesian Network,0.3541237147374928,0.36272209363657554,0.37769516728624536,ChatGLM4Flash
0.3,Criminal,llm,Bayesian Network,0.31523818512127166,0.32743948251368915,0.3379583746283449,ChatGLM4Flash
0.4,Criminal,llm,Bayesian Network,0.3387795168337021,0.36502242728233786,0.3620817843866171,ChatGLM4Flash
0.5,Criminal,llm,Bayesian Network,0.333737438745571,0.36689987178880124,0.36168947055324213,ChatGLM4Flash
0.6,Criminal,llm,Bayesian Network,0.3219846049709521,0.3608216380423859,0.352912019826518,ChatGLM4Flash
0.7,Criminal,llm,Bayesian Network,0.32937830019907144,0.34111059499943525,0.34862970044614405,ChatGLM4Flash
0.8,Criminal,llm,Bayesian Network,0.32613619939433247,0.3523164208708893,0.34609665427509295,ChatGLM4Flash
0.9,Criminal,llm,Bayesian Network,0.3091284991329243,0.3185117717795895,0.3198942498347654,ChatGLM4Flash
0.1,Criminal,Non-expert,Random Forest,0.4905878163679024,0.5039851333652963,0.49925705794947994,None
0.2,Criminal,Non-expert,Random Forest,0.493267199538087,0.4947844457677018,0.5003717472118959,None
0.3,Criminal,Non-expert,Random Forest,0.48401877302329804,0.48891463435329835,0.4905847373637265,None
0.4,Criminal,Non-expert,Random Forest,0.46969211817066525,0.47281972803282507,0.4754646840148699,None
0.5,Criminal,Non-expert,Random Forest,0.4638070671826166,0.4671135266528362,0.4684711481261154,None
0.6,Criminal,Non-expert,Random Forest,0.44298207644245413,0.4440290380505753,0.44783147459727385,None
0.7,Criminal,Non-expert,Random Forest,0.4176115317472284,0.4226322346848821,0.42553643509666456,None
0.8,Criminal,Non-expert,Random Forest,0.400032067227756,0.40276411578256455,0.40650557620817845,None
0.9,Criminal,Non-expert,Random Forest,0.3551501660847553,0.35628310121335777,0.36434236615994714,None
0.1,Criminal,Non-expert,Decision Tree,0.481701489682903,0.49370369769345035,0.487369985141159,None
0.2,Criminal,Non-expert,Decision Tree,0.483923463012036,0.4879812087974931,0.48698884758364314,None
0.3,Criminal,Non-expert,Decision Tree,0.4701066770636547,0.47208575167531125,0.47472745292368684,None
0.4,Criminal,Non-expert,Decision Tree,0.472721491511928,0.47628518460128294,0.4762081784386617,None
0.5,Criminal,Non-expert,Decision Tree,0.4552446692962897,0.46248951078646805,0.4562760261748959,None
0.6,Criminal,Non-expert,Decision Tree,0.42997392876558893,0.43215690490901426,0.43271375464684014,None
0.7,Criminal,Non-expert,Decision Tree,0.4103146426215719,0.41188974163803294,0.41470150839175696,None
0.8,Criminal,Non-expert,Decision Tree,0.39026184615983767,0.3925975203946322,0.39163568773234203,None
0.9,Criminal,Non-expert,Decision Tree,0.32975100610724284,0.3313997248910599,0.33245208195637804,None
0.1,Criminal,Non-expert,KNN,0.3967283604498602,0.43033079888427545,0.399702823179792,None
0.2,Criminal,Non-expert,KNN,0.4044303481243669,0.42586787992847397,0.4066914498141264,None
